sample_id,mode,source,synthetic_or_real,voltage_v,temperature_c,current_ma,delta_voltage,delta_temperature,delta_current,soc_raw_model,soc_clipped_reference,is_saturated,saturation_reason
gv_01,EXTENDED,canonical_golden_vectors,real,3.9973436404081033,38.67298635129722,252.27672672831008,-0.012107321264237,-14.598349428004362,-30.216964953337506,0.20849036,0.20849036,0,NONE
gv_02,EXTENDED,canonical_golden_vectors,real,3.889748428137188,36.0709017669525,216.12796624347425,-0.0033541937763163,-17.290780253399447,53.697705757901616,0.9252088,0.9252088,0,NONE
gv_03,EXTENDED,canonical_golden_vectors,real,4.153030497872144,15.94579782667734,100.3200559426012,-0.0453276392117252,-11.65166420996439,7.802388101283718,0.85452135,0.85452135,0,NONE
gv_04,EXTENDED,canonical_golden_vectors,real,4.01686130633832,18.37403293529573,219.0937695223212,-0.0488404911478366,-11.892164387119864,-8.528093956420385,0.80938605,0.80938605,0,NONE
gv_05,EXTENDED,canonical_golden_vectors,real,4.025063794633792,33.57771609167696,105.24989863213897,-0.018861244926911,-5.922798371022596,-41.51096244856823,0.56388493,0.56388493,0,NONE
gv_06,EXTENDED,canonical_golden_vectors,real,4.076565249646489,14.658732527094834,68.06724998253421,0.0159108429802666,1.4967648175222408,37.04576659080715,1.14829584,1.0,1,model_output_above_1
gv_07,EXTENDED,canonical_golden_vectors,real,3.973568681518946,12.416347669116496,239.08516192265773,-0.0247878005008318,-15.273879891285796,4.752739432471955,0.9455571,0.9455571,0,NONE
gv_08,EXTENDED,canonical_golden_vectors,real,3.881692097179174,37.39888197598491,121.57503091792466,-0.0069982172516814,-11.50318380734251,7.319012983432295,0.72120316,0.72120316,0,NONE
gv_09,EXTENDED,canonical_golden_vectors,real,4.055881494976715,15.09982014107572,317.8992741885711,0.0020106258688891,0.9772389582960804,45.9566998290906,0.69775759,0.69775759,0,NONE
gv_10,EXTENDED,canonical_golden_vectors,real,4.073285992795769,37.785288954011534,74.54162906674017,-0.0443213710064683,-16.8008814964585,-12.758442898307443,0.58844559,0.58844559,0,NONE
gv_11,EXTENDED,canonical_golden_vectors,real,4.002150278494424,17.762123198000516,278.9973000277629,-0.0314597338645128,-12.11502194741487,9.651966173615412,0.7605062,0.7605062,0,NONE
