optimization_id,frente,nome,objetivo,tipo,status,entrada_esperada,saida_esperada,compativel_esp32,custo_embarcado_estimado,depende_de_dados_locais,claim_permitido,claim_proibido,proxima_fase
SOC_TARGET_001,target físico,SOC_q_cycle / Method B,referência física por ciclo,target,consolidado,corrente em mA e ciclo segmentado,soc_method_b,indireto/offline,baixo,não,target físico offline para treino e replay,SOC verdadeiro absoluto sem erro,Fase 4B
FEATURE_001,features,deltas temporais,capturar variação local de V T I,feature,consolidado,série ordenada de features,delta_voltage delta_temperature delta_current,sim,baixo,não,features canônicas de replay,garantia de robustez em campo,Fase 4B
FEATURE_002,features,carga acumulada por janela,aproximar integração curta de corrente,feature,planejado,janelas temporais e current_ma,q_window_Ah,sim,baixo,sim,feature candidata offline e embarcável,SOC absoluto sem calibração,Fase 4B
FEATURE_003,features,energia acumulada por janela,representar V vezes I integrado em janela,feature,planejado,janelas temporais com V e I,energy_window_Wh,sim,baixo,sim,feature candidata de energia local,medição de energia validada em campo,Fase 4B
FEATURE_004,features,slope de tensão em janela,capturar tendência local de tensão,feature,planejado,janelas temporais de tensão,voltage_slope_window,sim,baixo,sim,feature leve para comparação offline,diagnóstico físico definitivo,Fase 4B
FEATURE_005,features,estatísticas rolling leves,resumir estabilidade temporal curta,feature,planejado,janelas temporais,rolling_mean rolling_std rolling_min rolling_max,sim,baixo,sim,features leves candidatas,operação 24/7 validada,Fase 4B
SPLIT_001,splits,split por célula,medir generalização entre células,split,planejado,identificador de célula,métricas por célula,não,nenhum,sim,avaliação cross-cell offline,generalização universal entre baterias,Fase 4C
SPLIT_002,splits,split por ciclo,medir generalização entre ciclos,split,planejado,identificador de ciclo,métricas por ciclo,não,nenhum,sim,avaliação por ciclo offline,robustez temporal em campo,Fase 4C
SPLIT_003,splits,split temporal,evitar vazamento futuro-passado,split,planejado,timestamps ou ordem temporal,métricas temporais,não,nenhum,sim,avaliação temporal offline,predição operacional futura garantida,Fase 4C
SPLIT_004,splits,leave-one-cell-out,testar extrapolação por célula,split,planejado,grupos de célula,métricas leave-one-cell-out,não,nenhum,sim,stress test de generalização offline,validação industrial,Fase 4C
MODEL_001,modelos,MLP V8B2 baseline,manter referência canônica float32,modelo,consolidado,features canônicas,soc_method_b,sim,baixo,não,baseline embarcado por replay V8B2,modelo definitivo,Fase 4D
MODEL_002,modelos,MLP menor,reduzir parâmetros e custo,modelo,planejado,features canônicas,métricas offline e footprint,sim,baixo,sim,candidata offline de menor footprint,melhoria de latência sem ESP32,Fase 4D
MODEL_003,modelos,1D-CNN leve candidata,comparar extração temporal local,modelo,planejado,janelas curtas,métricas offline,parcial,médio,sim,candidata offline para comparação,modelo embarcado validado,Fase 4D
MODEL_004,modelos,Ridge baseline offline,estabelecer baseline linear interpretável,modelo,planejado,features tabulares,métricas offline,não,nenhum,sim,baseline estatístico offline,modelo embarcado final,Fase 4D
MODEL_005,modelos,Random Forest benchmark offline,comparar baseline não linear,modelo,planejado,features tabulares,métricas offline,não,alto,sim,benchmark offline não embarcado,compatibilidade ESP32,Fase 4D
HYBRID_001,híbridos,residual correction,corrigir erro sistemático do baseline,híbrido,planejado,predição e referência,resíduo estimado,parcial,baixo,sim,correção residual offline,campo ou produção,Fase 4D
HYBRID_002,híbridos,calibração por ciclo,ajustar viés por ciclo,calibração,planejado,metadados de ciclo,parâmetros de calibração,indireto/offline,baixo,sim,análise offline de viés por ciclo,SOC verdadeiro absoluto,Fase 4D
QUANT_001,quantização,float32 baseline,preservar referência canônica,quantização,consolidado,header float32,modelo baseline,sim,baixo,não,baseline V8B2 validado por replay,INT8 validado,Fase 3C
QUANT_002,quantização,int8 per-array candidate,reduzir footprint com escala por array,quantização,candidato,header float32,header int8 candidato,sim,baixo,não,candidato offline de quantização,firmware INT8 validado,Fase 3D
QUANT_003,quantização,fixed-point Q-format reference,definir referência numérica fixa,quantização,planejado,header e replay,simulação fixed-point,sim,baixo,não,referência experimental offline,melhoria de latência sem teste,Fase 3D
QUANT_004,quantização,quantization-aware simulation,avaliar robustez a quantização,quantização,planejado,treino ou simulação,métricas offline,indireto/offline,médio,sim,simulação offline de viabilidade,firmware validado,Fase 4D
ANOM_001,anomalias,regras físicas,detectar violações físicas simples,anomalia,consolidado,features canônicas,flags de anomalia,sim,baixo,não,protocolo de anomalia por replay,diagnóstico de falha real,Fase 4F
ANOM_002,anomalias,coerência temporal,avaliar persistência e sequência,anomalia,planejado,série temporal,flags temporais,sim,baixo,sim,critério temporal offline,operação contínua validada,Fase 4F
ANOM_003,anomalias,residual model,detectar erro inesperado do modelo,anomalia,planejado,predição e referência,resíduo anômalo,parcial,médio,sim,candidato offline de anomalia,detecção operacional garantida,Fase 4F
ANOM_004,anomalias,severidade e persistência,classificar intensidade e duração,anomalia,planejado,eventos temporais,severidade e persistência,sim,baixo,sim,protocolo offline de severidade,diagnóstico real em campo,Fase 4F
DRIFT_001,drift,drift de erro por ciclo,medir tendência de erro ao longo dos ciclos,drift,planejado,erro por ciclo,métricas de drift,não,nenhum,sim,análise offline de drift,degradação operacional resolvida,Fase 4C
SOH_001,SOH,capacidade efetiva por ciclo,preparar ponte futura para degradação,SOH,planejado,ciclos completos,capacidade efetiva estimada,indireto/offline,médio,sim,indicador futuro de SOH offline,SOH operacional,Fase 4H
SOH_002,SOH,resistência interna proxy,avaliar proxy de envelhecimento,SOH,planejado,V I e eventos de carga,proxy de resistência,indireto/offline,médio,sim,proxy exploratório offline,diagnóstico de vida útil,Fase 4H
SOH_003,SOH,degradação como extensão separada,manter SOH fora do claim SOC V8B2,SOH,planejado,registros longitudinais,protocolo separado,não,nenhum,sim,trilha separada de pesquisa,manutenção preditiva operacional,Fase 4H
EMBED_001,embarcado,benchmark latência/heap/flash,padronizar métricas embarcadas,embarcado,parcial,logs ESP32,métricas runtime,sim,baixo,não,replay V8B2 com latência e heap,produção ou campo,Fase 4G
EMBED_002,embarcado,runtime replay/stream V8C,preparar transição para bancada,embarcado,planejado,stream digital ou bancada,relatório V8C,sim,médio,sim,protocolo futuro de bancada,campo ou operação 24/7,Fase 4G
