scenario_id,sample_id,mode,anomaly_type,perturbation,expected_anomaly_flag,expected_anomaly_code,expected_severity,embedded_feasible,reference_only,limitation
ano_001_voltage_spike,ano_001,ANOMALY,voltage_out_of_range,+0.5V,1,1,HIGH,YES,NO,NONE
ano_002_current_spike,ano_002,ANOMALY,current_out_of_range,+300mA,1,2,HIGH,YES,NO,NONE
ano_003_temperature_jump,ano_003,ANOMALY,temperature_out_of_range,+20C,1,3,MEDIUM,YES,NO,NONE
ano_004_voltage_flatline,ano_004,ANOMALY,voltage_flatline,delta_v=0 for 5+ samples,1,4,MEDIUM,YES,NO,Requires 5-sample window buffer in firmware
ano_005_current_dropout,ano_005,ANOMALY,current_dropout,current=1mA (below training min),1,5,HIGH,YES,NO,NONE
ano_006_noise_burst,ano_006,ANOMALY,abrupt_delta_current,|delta_i| > 200mA per step,1,6,LOW,YES,NO,NONE
ano_007_soc_temporal_incoherence,ano_007,ANOMALY,soc_coherence_violation,offline reference only,1,7,MEDIUM,NO,YES,Requires reference lookup table on device; not embedded in Phase 1
ano_008_domain_shift_current_scale,ano_008,ANOMALY,domain_shift,current=0.15 (should be 150mA; passed as 0.15),1,8,HIGH,NO,YES,Scale error detectable if current < training_min; depends on value. Mark as REPLAY_WARNING
ano_009_low_voltage_warning,ano_009,ANOMALY,voltage_out_of_range,voltage=3.75V,1,9,MEDIUM,YES,NO,NONE
ano_010_high_temperature_warning,ano_010,ANOMALY,temperature_out_of_range,temperature=48C,1,10,MEDIUM,YES,NO,NONE
